1,ash|shuriken,Shuriken
82,limbo|rift_walk,Stasis
83,limbo|rift_surge,Rift Surge
84,limbo|cataclysm,Cataclysm
85,odonata|energy_shell,Energy Shell
86,odonata|disarray,Disarray
87,odonata|seeking_fire,Seeking Fire
88,odonata|repel,Repel
89,elytron|bloomer,Bloomer
90,elytron|core_vent,Core Vent
91,elytron|thumper,Thumper
92,elytron|warhead,Warhead
93,mesa|ballistic_battery,Ballistic Battery
94,mesa|shooting_gallery,Shooting Gallery
95,mesa|shatter_shield,Shatter Shield
96,mesa|peacemaker,Peacemaker
97,itzal|blink,Blink
98,itzal|penumbra,Penumbra
99,itzal|cosmic_crush,Cosmic Crush
100,itzal|fighter_escort,Fighter Escort
101,chroma|spectral_scream,Spectral Scream
102,chroma|elemental_ward,Elemental Ward
103,chroma|vex_armor,Vex Armor
104,chroma|effigy,Effigy
105,equinox|metamorphosis,Metamorphosis
106,equinox|rest_&_rage,Rest & Rage
107,equinox|pacify_&_provoke,Pacify & Provoke
108,equinox|mend_&_maim,Mend & Maim
109,atlas|landslide,Landslide
110,atlas|tectonics,Tectonics
111,atlas|petrify,Petrify
112,atlas|rumblers,Rumblers
113,wukong|celestial_twin,Celestial Twin
114,wukong|cloud_walker,Cloud Walker
115,wukong|defy,Defy
116,wukong|primal_fury,Primal Fury
117,ivara|quiver,Quiver
118,ivara|navigator,Navigator
119,ivara|prowl,Prowl
120,ivara|artemis_bow,Artemis Bow
121,nezha|fire_walker,Fire Walker
122,nezha|blazing_chakram,Blazing Chakram
123,nezha|warding_halo,Warding Halo
124,nezha|divine_spears,Divine Spears
125,inaros|dessication,Desiccation
126,inaros|devour,Devour
127,inaros|sandstorm,Sandstorm
128,inaros|scarab_swarm,Scarab Swarm
129,amesha|watchful_swarm,Watchful Swarm
130,amesha|benevolent_decoy,Benevolent Decoy
131,amesha|warding_grace,Warding Grace
132,amesha|vengeful_rush,Vengeful Rush
133,titania|spellbind,Spellbind
134,titania|tribute,Tribute
135,titania|lantern,Lantern
136,titania|razorwing,Razorwing
137,nidus|virulence,Virulence
138,nidus|larva,Larva
139,nidus|parasitic_link,Parasitic Link
140,nidus|ravenous,Ravenous
141,octavia|mallet,Mallet
142,octavia|resonator,Resonator
143,octavia|metronome,Metronome
144,octavia|amp,Amp
145,harrow|condemn,Condemn
146,harrow|penance,Penance
147,harrow|thurible,Thurible
148,harrow|covenant,Covenant
149,gara|shattered_lash,Shattered Lash
150,gara|splinter_storm,Splinter Storm
151,gara|spectrorage,Spectrorage
152,gara|mass_vitrify,Mass Vitrify
153,khora|whipclaw,Whipclaw
154,khora|ensnare,Ensnare
155,khora|venari,Venari
156,khora|strangledome,Strangledome
157,revenant|enthrall,Enthrall
158,revenant|mesmer_skin,Mesmer Skin
159,revenant|reave,Reave
160,revenant|danse_macabre,Danse Macabre
161,garuda|dread_mirror,Dread Mirror
162,garuda|blood_altar,Blood Altar
163,garuda|bloodletting,Bloodletting
164,garuda|seeking_talons,Seeking Talons
165,baruuk|elude,Elude
166,baruuk|lull,Lull
167,baruuk|desolate_hands,Desolate Hands
168,baruuk|serene_storm,Serene Storm
169,hildryn|balefire,Balefire
170,hildryn|shield_pillage,Shield Pillage
171,hildryn|haven,Haven
172,hildryn|aegis_storm,Aegis Storm
173,wisp|reservoirs,Reservoirs
174,wisp|wil-o-wisp,Wil-O-Wisp
175,wisp|breach_surge,Breach Surge
176,wisp|sol_gate,Sol Gate
177,gauss|mach_rush,Mach Rush
178,gauss|kinetic_plating,Kinetic Plating
179,gauss|thermal_sunder,Thermal Sunder
180,gauss|redline,Redline
181,grendel|feast,Feast
182,grendel|nourish,Nourish
183,grendel|regurgitate,Regurgitate
184,grendel|pulverize,Pulverize
